HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
3QGHA0EA0IZ5Z7IT6E1LWDHQIMZWB8,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3XC1O3LBOSLS7JY5SPQ6CG1F28BTLE,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:30:34 GMT 2014,Sun Mar 30 12:44:22 GMT 2014,Sun Mar 30 17:44:22 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,828,100% (78/78),100% (78/78),100% (78/78),2011865,Eighth,Home (left),93:06:00,"6,11,5,3,0,1,0,0,5,6,3,0,1","6,7","30,31",14,"5,8",,
3R6RZGK0XEBOXQBZQWA9IMWDWMFYVF,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3DHE4R9OCWAI1SQRYJ9UY1NH6E62GJ,A2UZCL6H1RWDSM,Approved,Sun Mar 30 07:35:16 GMT 2014,Sun Mar 30 07:50:32 GMT 2014,Sun Mar 30 12:50:32 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,916,100% (78/78),100% (78/78),100% (78/78),2011865,Ninth,Home (left),93:06:00,"2,5,11,10,13,4,6,7,0,5,40,1","0,1","44,46",16,"24,28",,
32W3UF2EZNKC0ARFA8RXC54HGE14C2,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,36AHBNMV1RB5QT97PEFH1KLP81QDY6,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:00:44 GMT 2014,Sun Mar 30 12:03:13 GMT 2014,Sun Mar 30 17:03:13 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,149,100% (78/78),100% (78/78),100% (78/78),2011865,Tenth,Home (left),93:06:00,"0,1,13,2,20,0,1,11,7,0,0,0,0","1,2","31,40",18,"23,30",,
3RHLQY6EDS3M52XTA4M8WBMZ1ED4D2,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3EJPLAJKEMF6AA4XBD9M9LKZX93Z6N,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:54:42 GMT 2014,Sun Mar 30 08:57:04 GMT 2014,Sun Mar 30 13:57:04 PDT 2014,Sun Mar 30 12:03:21 PDT 2014,,,142,100% (78/78),100% (78/78),100% (78/78),2011865,Eleventh,Home (left),93:06:00,"0,4,1,5,6,7,16,1,7,0,0,2,3","2,3","23,33",22,"27,36",,
36BTXXLZ2U7G6CGYS5HS1033GF3R4U,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,31T4R4OBOSFC6H7S29U641JAJ227CW,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:01:10 GMT 2014,Sun Mar 30 09:04:53 GMT 2014,Sun Mar 30 14:04:53 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,223,100% (78/78),100% (78/78),100% (78/78),2011865,First,Away (right),93:06:00,"0,3,1,2,2,1,1,0,0,1,1,0,4,1","9,15","6,6",1,"2,3",,
3CZH926SIBDRX8BT6ZXS2T4K1QE4EV,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3E337GFOL97EQEFKK27EQPQFH90NGY,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:08:34 GMT 2014,Sun Mar 30 11:11:12 GMT 2014,Sun Mar 30 16:11:12 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,158,100% (78/78),100% (78/78),100% (78/78),2011865,Second,Away (right),93:06:00,"3,0,10,7,5,9,2,1,2,8,6,0,1,1","6,11","38,40",4,"11,14",,
3D1UCPY6GF8P6BIYTI690EGSCNJ389,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,317HQ483I7RSM5LFAQ7HB13VWMRINK,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:28:08 GMT 2014,Sun Mar 30 09:31:54 GMT 2014,Sun Mar 30 14:31:54 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,226,100% (78/78),100% (78/78),100% (78/78),2011865,Third,Away (right),78:22:00,"2,12,0,0,1,4,0,2,4,2,5,0,2,1","1,4","27,34",5,"7,9",,
30OITAWPBP24EO87DV1P44CDFYK9HC,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3WYGZ5XF3WEG8D38IP9FNBSEBPRSKK,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:28:01 GMT 2014,Sun Mar 30 12:30:32 GMT 2014,Sun Mar 30 17:30:32 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,151,100% (78/78),100% (78/78),100% (78/78),2011865,Fourth,Away (right),93:06:00,"4,8,2,0,1,5,9,0,1,5,4,0,1,0","2,3","26,28",6,"12,13",,
306996CF6VJCY62Q9QC03NRWM9R1BF,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3DBQWDE4Y6XGAHQ036ONMSZQR0O5N0,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:57:37 GMT 2014,Sun Mar 30 12:00:42 GMT 2014,Sun Mar 30 17:00:42 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,185,100% (78/78),100% (78/78),100% (78/78),2011865,Fifth,Away (right),93:06:00,"0,2,0,1,0,2,11,0,8,5,6,4,2,3","1,4","23,32",7,"20,30",,
3Z8UJEJOCYCPKG18YACN0AB3WT139Y,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,34BBWHLWHAAI9ZUT2RY47KGMPYSIW8,A2UZCL6H1RWDSM,Approved,Sun Mar 30 07:13:01 GMT 2014,Sun Mar 30 07:17:45 GMT 2014,Sun Mar 30 12:17:45 PDT 2014,Sun Mar 30 12:03:22 PDT 2014,,,284,100% (78/78),100% (78/78),100% (78/78),2011865,Sixth,Away (right),75:02:00,"0,4,4,3,2,0,1,2,6,5,12,0,0,0","1,1","26,29",8,"12,15",,
3BS6ERDL9260KP17TSFNT96DX5ID6V,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3KIBXJ1WD5T1ALBFB8S636IDE0JKOA,A2UZCL6H1RWDSM,Approved,Sun Mar 30 07:22:25 GMT 2014,Sun Mar 30 07:28:28 GMT 2014,Sun Mar 30 12:28:28 PDT 2014,Sun Mar 30 12:03:23 PDT 2014,,,363,100% (78/78),100% (78/78),100% (78/78),2011865,Seventh,Away (right),93:06:00,"3,4,0,2,13,3,0,4,1,6,0,6,0","7,9","30,38",13,"5,12",,
3X52SWXE0W4O9CAZKEXG7XN807ZWCF,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:49 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:49 GMT 2014,,,3K4J6M3CXES76VLVBY294J6FI25AG5,A2UZCL6H1RWDSM,Approved,Sun Mar 30 12:44:23 GMT 2014,Sun Mar 30 12:48:01 GMT 2014,Sun Mar 30 17:48:01 PDT 2014,Sun Mar 30 12:03:23 PDT 2014,,,218,100% (78/78),100% (78/78),100% (78/78),2011865,Eighth,Away (right),46:00:00,"0,0,0,0,0,0,0,0,1,0,0,0,0,0","0,0","0,2",16,"1,4",,
3Y3CZJSZ9JSY2VKY6A026S9HGBYR5Z,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:50 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:50 GMT 2014,,,33SA9F9TRXT6TUS7688DM5IUX5QEW0,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:51:25 GMT 2014,Sun Mar 30 11:54:33 GMT 2014,Sun Mar 30 16:54:33 PDT 2014,Sun Mar 30 12:03:23 PDT 2014,,,188,100% (78/78),100% (78/78),100% (78/78),2011865,Ninth,Away (right),72:31:00,"0,1,2,4,12,3,5,0,0,2,7,0,0,0","3,3","22,24",21,"11,21",,
37VUR2VJ69OV8BUWNQ8VE7XE4UR1CM,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:50 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:50 GMT 2014,,,3M81GAB8A0I32UK1K87HT8UN67VQB7,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:22:16 GMT 2014,Sun Mar 30 11:25:54 GMT 2014,Sun Mar 30 16:25:54 PDT 2014,Sun Mar 30 12:03:23 PDT 2014,,,218,100% (78/78),100% (78/78),100% (78/78),2011865,Tenth,Away (right),93:06:00,"0,7,2,5,7,3,3,0,7,0,7,1,1,0","3,3","25,27",25,"15,17",,
34R0BODSP0Y9TRFTK4G27LAY1M85E0,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:50 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:50 GMT 2014,,,34QN5IT0TZQWC3HV0YTSN0D4LXD80T,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:04:33 GMT 2014,Sun Mar 30 11:08:33 GMT 2014,Sun Mar 30 16:08:33 PDT 2014,Sun Mar 30 12:03:23 PDT 2014,,,240,100% (78/78),100% (78/78),100% (78/78),2011865,Eleventh,Away (right),93:06:00,"0,6,9,6,2,7,4,1,6,10,0,0,1,2","6,8","36,40",42,"12,15",,
